trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",30,0,-106.68120991655556,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
2,False,"{'a': 0.2, 'e': 0.25}",20,0,-136.0755013742842,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.1111111111111111}",25,0,-69.85920333514991,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.0625}",25,0,-164.43438664105216,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.2, 'e': 0.04}",20,0,-39.91524452055039,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.2, 'e': 0.027777777777777776}",25,0,-39.22758169150172,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.02040816326530612}",20,11,14.600322513107427,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.2, 'e': 0.015625}",20,4,-23.588556287786243,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.2, 'e': 0.012345679012345678}",25,0,-72.28753503649519,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.01}",20,0,-49.80940458146928,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.008264462809917356}",20,4,-21.565446925862663,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.2, 'e': 0.006944444444444444}",20,0,-9.013453557100771,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.005917159763313609}",35,0,-77.29125856548839,"{0: 28, 1: 2, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.00510204081632653}",20,0,-1.0772134015795698,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.0044444444444444444}",25,0,-65.7741424824024,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.00390625}",25,18,3.224363719291726,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.0034602076124567475}",20,0,-49.97432465014115,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.0030864197530864196}",30,1,-74.56043637749652,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 2}",1
19,False,"{'a': 0.2, 'e': 0.002770083102493075}",20,5,23.262017589974114,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.2, 'e': 0.0025}",20,6,23.06798456700811,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-15.983506064095273,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,0.800938656185787,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,13,-1.7283876476837754,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,17.010457008064204,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,13,0.5101746556369351,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-57.99600604809607,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,18,11.053351528989776,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,1.0130488816789294,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-30.18713583117198,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,10,15.65580736861674,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",25,8,16.322060527423233,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",20,0,-29.68235021760635,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
13,True,"{'a': 0.0, 'e': 0.0}",30,9,-65.16818885598431,"{0: 15, 1: 1, 2: 2, 3: 3, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",20,1,-61.40098918161788,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 2}",1
15,True,"{'a': 0.0, 'e': 0.0}",20,12,12.796767951762405,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",20,4,-3.947357794435764,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",30,7,-101.42048416021915,"{0: 18, 1: 0, 2: 1, 3: 2, 4: 2}",1
18,True,"{'a': 0.0, 'e': 0.0}",30,0,-39.7027831217051,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,True,"{'a': 0.0, 'e': 0.0}",25,7,4.576641529660436,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",30,0,-77.81538758395946,"{0: 25, 1: 2, 2: 0, 3: 1, 4: 2}",0
21,True,"{'a': 0.0, 'e': 0.0}",25,0,3.401669906875857,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
22,True,"{'a': 0.0, 'e': 0.0}",20,14,8.389837258297701,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.0, 'e': 0.0}",30,0,-5.502160800228892,"{0: 27, 1: 2, 2: 0, 3: 1, 4: 0}",0
24,True,"{'a': 0.0, 'e': 0.0}",25,10,9.132351055914938,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",25,0,-94.9866237014952,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
26,True,"{'a': 0.0, 'e': 0.0}",25,8,7.936098864917797,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,True,"{'a': 0.0, 'e': 0.0}",25,11,18.937698765891092,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.0, 'e': 0.0}",20,0,20.369354638051057,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0.0, 'e': 0.0}",20,4,-81.82081583247314,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 1}",1
30,True,"{'a': 0.0, 'e': 0.0}",25,5,-66.21601804606337,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
31,True,"{'a': 0.0, 'e': 0.0}",25,0,-25.274934658792,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
32,True,"{'a': 0.0, 'e': 0.0}",35,16,-75.70826131824548,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 2}",1
33,True,"{'a': 0.0, 'e': 0.0}",20,0,-25.214925430699626,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
34,True,"{'a': 0.0, 'e': 0.0}",20,6,20.988883400382047,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0.0, 'e': 0.0}",25,0,-9.345811918906133,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
36,True,"{'a': 0.0, 'e': 0.0}",20,10,1.2830006270234955,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,True,"{'a': 0.0, 'e': 0.0}",20,1,-76.44884392799602,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
38,True,"{'a': 0.0, 'e': 0.0}",25,15,-6.383008691295684,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
39,True,"{'a': 0.0, 'e': 0.0}",25,3,27.665760336087672,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0.0, 'e': 0.0}",25,6,-29.491325565777615,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
