trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-226.25093893569317,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,8,-48.37120846683358,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-247.2475076998112,"{0: 19, 1: 6, 2: 5, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.83350248737362,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.90128009103196,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.71728874151171,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.34144480072811,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.00931346338737,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,12,-136.63328106567644,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.75443524378375,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.1976601393205,"{0: 15, 1: 5, 2: 1, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.82353322365311,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.2232709737454,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.99648470552526,"{0: 17, 1: 4, 2: 5, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.57643842078109,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,15,-4.072353924835366,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.6986130042419,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.46365337527241,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.02957302230784,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,6,-102.6455672462816,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.19855142342145,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-88.99483079072832,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.88224401255013,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.3908020837697,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,8,-119.32548418748227,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.57092995557613,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-173.67442525229913,"{0: 15, 1: 3, 2: 8, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-144.03597190339082,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,10,-85.85941949994152,"{0: 4, 1: 2, 2: 2, 3: 1, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.90498029271082,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
